iter	Passed	Remaining
471	667	746
472	668	744
473	669	742
474	670	740
475	670	738
476	671	736
477	672	734
478	673	732
479	674	730
480	675	728
481	676	726
482	677	725
483	678	723
484	679	721
485	680	719
486	681	717
487	682	715
488	682	713
489	683	711
490	684	709
491	685	707
492	686	705
493	687	703
494	687	701
495	688	699
496	689	697
497	690	695
498	691	694
499	693	693
500	693	691
501	694	689
502	695	687
503	696	685
504	697	683
505	698	681
506	698	679
507	699	677
508	700	675
509	701	673
510	702	672
511	703	670
512	704	668
513	705	667
514	706	665
515	708	664
516	709	662
517	709	660
518	710	658
519	711	656
520	712	655
521	713	653
522	714	651
523	714	649
524	715	647
525	716	645
526	717	643
527	718	642
528	719	640
529	719	638
530	720	636
531	721	634
532	723	633
533	724	631
534	725	630
535	725	628
536	726	626
537	727	624
538	728	622
539	729	621
540	729	619
541	730	617
542	731	615
543	732	614
544	733	612
545	734	610
546	735	608
547	736	607
548	737	606
549	738	604
550	739	602
551	740	600
552	741	599
553	742	597
554	742	595
555	743	593
556	744	592
557	745	590
558	746	589
559	747	587
560	748	585
561	749	584
562	750	582
563	751	580
564	752	579
565	753	577
566	754	576
567	755	574
568	756	572
569	757	571
570	757	569
571	758	567
572	759	566
573	760	564
574	761	562
575	762	561
576	763	559
577	763	557
578	764	556
579	765	554
580	766	552
581	767	551
582	768	549
583	769	548
584	770	546
585	771	544
586	772	543
587	773	541
588	774	540
589	774	538
590	775	536
591	776	535
592	777	533
593	778	531
594	779	530
595	779	528
596	780	527
597	782	526
598	783	524
599	784	522
600	785	521
601	786	519
602	786	518
603	787	516
604	788	514
605	789	513
606	790	511
607	791	510
608	791	508
609	792	506
610	793	505
611	794	503
612	795	502
613	796	500
614	797	499
615	798	497
616	799	496
617	800	494
618	801	493
619	802	491
620	803	490
621	803	488
622	804	486
623	805	485
624	806	483
625	807	482
626	808	480
627	808	479
628	809	477
629	810	476
630	811	474
631	812	473
632	813	471
633	814	470
634	815	468
635	816	467
636	817	465
637	817	464
638	818	462
639	819	461
640	820	459
641	821	458
642	822	456
643	823	454
644	823	453
645	824	451
646	825	450
647	827	449
648	827	447
649	828	446
650	829	444
651	830	443
652	831	441
653	832	440
654	833	438
655	833	437
656	834	435
657	835	434
658	836	432
659	837	431
660	838	429
661	838	428
662	839	426
663	840	425
664	842	424
665	843	422
666	844	421
667	844	419
668	845	418
669	846	416
670	847	415
671	848	414
672	849	412
673	849	411
674	850	409
675	851	408
676	852	406
677	853	405
678	854	403
679	854	402
680	855	400
681	857	399
682	858	398
683	859	396
684	860	395
685	860	394
686	861	392
687	863	391
688	864	390
689	865	388
690	866	387
691	867	386
692	868	384
693	869	383
694	870	382
695	872	381
696	873	379
697	874	378
698	875	376
699	875	375
700	876	374
701	877	372
702	878	371
703	879	369
704	880	368
705	881	366
706	882	365
707	882	364
708	883	362
709	884	361
710	885	359
711	886	358
712	887	357
713	888	355
714	889	354
715	890	353
716	891	351
717	892	350
718	892	348
719	893	347
720	894	346
721	895	344
722	896	343
723	897	341
724	898	340
725	898	339
726	899	337
727	900	336
728	902	335
729	903	334
730	904	332
731	904	331
732	905	329
733	906	328
734	907	327
735	908	325
736	909	324
737	909	323
738	910	321
739	911	320
740	912	318
741	913	317
742	914	316
743	915	314
744	915	313
745	917	312
746	918	311
747	919	309
748	920	308
749	920	306
750	921	305
751	922	304
752	923	302
753	924	301
754	925	300
755	926	299
756	927	297
757	928	296
758	928	294
759	929	293
760	930	292
761	932	291
762	933	289
763	934	288
764	934	287
765	935	285
766	936	284
767	937	283
768	938	281
769	939	280
770	940	279
771	940	277
772	941	276
773	942	275
774	943	273
775	944	272
776	945	271
777	946	270
778	948	268
779	948	267
780	950	266
781	950	265
782	951	263
783	953	262
784	954	261
785	955	260
786	956	258
787	957	257
788	957	256
789	958	254
790	959	253
791	960	252
792	962	251
793	963	249
794	963	248
795	964	247
796	965	245
797	966	244
798	968	243
799	968	242
800	969	240
801	970	239
802	971	238
803	972	237
804	973	235
805	973	234
806	975	233
807	976	232
808	977	230
809	978	229
810	979	228
811	980	226
812	981	225
813	982	224
814	983	223
815	984	221
816	985	220
817	986	219
818	987	218
819	988	216
820	989	215
821	991	214
822	992	213
823	993	212
824	994	211
825	995	209
826	997	208
827	998	207
828	999	206
829	1001	205
830	1002	203
831	1003	202
832	1004	201
833	1005	200
834	1008	199
835	1009	197
836	1010	196
837	1011	195
838	1012	194
839	1013	193
840	1014	191
841	1015	190
842	1016	189
843	1017	188
844	1018	186
845	1019	185
846	1020	184
847	1021	183
848	1022	181
849	1023	180
850	1025	179
851	1026	178
852	1027	177
853	1028	175
854	1029	174
855	1031	173
856	1032	172
857	1032	170
858	1033	169
859	1034	168
860	1037	167
861	1038	166
862	1039	165
863	1040	163
864	1042	162
865	1043	161
866	1044	160
867	1046	159
868	1047	157
869	1048	156
870	1049	155
871	1051	154
872	1052	153
873	1054	151
874	1054	150
875	1055	149
876	1057	148
877	1058	147
878	1059	145
879	1060	144
880	1060	143
881	1061	142
882	1062	140
883	1063	139
884	1064	138
885	1067	137
886	1068	136
887	1069	134
888	1071	133
889	1072	132
890	1073	131
891	1074	130
892	1075	128
893	1076	127
894	1077	126
895	1078	125
896	1079	123
897	1080	122
898	1081	121
899	1082	120
900	1083	119
901	1084	117
902	1084	116
903	1085	115
904	1086	114
905	1087	112
906	1088	111
907	1089	110
908	1089	109
909	1090	107
910	1091	106
911	1092	105
912	1093	104
913	1094	102
914	1095	101
915	1096	100
916	1097	99
917	1098	98
918	1099	96
919	1100	95
920	1101	94
921	1102	93
922	1102	92
923	1103	90
924	1104	89
925	1105	88
926	1106	87
927	1107	85
928	1108	84
929	1108	83
930	1109	82
931	1110	81
932	1112	79
933	1113	78
934	1114	77
935	1114	76
936	1115	75
937	1116	73
938	1117	72
939	1118	71
940	1119	70
941	1120	68
942	1121	67
943	1121	66
944	1122	65
945	1123	64
946	1124	62
947	1125	61
948	1127	60
949	1127	59
950	1128	58
951	1129	56
952	1130	55
953	1131	54
954	1132	53
955	1133	52
956	1133	50
957	1134	49
958	1135	48
959	1136	47
960	1137	46
961	1138	44
962	1138	43
963	1139	42
964	1140	41
965	1142	40
966	1142	39
967	1143	37
968	1144	36
969	1145	35
970	1146	34
971	1147	33
972	1148	31
973	1149	30
974	1149	29
975	1150	28
976	1151	27
977	1152	25
978	1153	24
979	1154	23
980	1154	22
981	1156	21
982	1157	20
983	1158	18
984	1159	17
985	1160	16
986	1161	15
987	1162	14
988	1162	12
989	1163	11
990	1164	10
991	1165	9
992	1166	8
993	1167	7
994	1167	5
995	1168	4
996	1169	3
997	1170	2
998	1171	1
999	1172	0
